Waterbody,County,Date,Species,Sex,TL_mm,TL_in,Wt_W_g,Wt_W_lbs
Little Round,Sawyer,04/03/2014,BLG,M,195,7.677165354,126.1,0.278002582
Little Round,Sawyer,04/03/2014,BLG,M,196,7.716535433,125.6,0.276900272
Little Round,Sawyer,04/03/2014,BLG,M,180,7.086614173,106.7,0.235232954
Little Round,Sawyer,04/03/2014,BLG,M,173,6.811023622,96.4,0.212525368
Little Round,Sawyer,04/03/2014,BLG,M,149,5.866141732,55.3,0.121915486
Little Round,Sawyer,04/03/2014,BLG,M,203,7.992125984,115.4,0.254413148
Little Round,Sawyer,04/03/2014,BLG,M,180,7.086614173,107.8,0.237658036
Little Round,Sawyer,04/03/2014,BLG,M,196,7.716535433,120.8,0.266318096
Little Round,Sawyer,04/03/2014,BLG,I,106,4.173228346,20.2,0.044533324
Little Round,Sawyer,04/03/2014,BLG,M,195,7.677165354,122,0.26896364
Little Round,Sawyer,04/03/2014,BLG,M,199,7.834645669,122.6,0.270286412
Little Round,Sawyer,04/03/2014,BLG,M,195,7.677165354,120.3,0.265215786
Little Round,Sawyer,04/03/2014,BLG,M,132,5.196850394,39.5,0.08708249
Little Round,Sawyer,04/03/2014,BLG,F,161,6.338582677,75,0.1653465
Little Round,Sawyer,04/03/2014,BLG,M,205,8.070866142,122.6,0.270286412
Little Round,Sawyer,04/03/2014,BLG,F,163,6.417322835,70.6,0.155646172
Little Round,Sawyer,04/03/2014,BLG,M,184,7.244094488,112.3,0.247578826
Little Round,Sawyer,04/03/2014,BLG,M,172,6.771653543,92.1,0.203045502
Little Round,Sawyer,04/03/2014,BLG,M,180,7.086614173,95,0.2094389
Little Round,Sawyer,04/03/2014,BLG,M,160,6.299212598,64.1,0.141316142
Little Round,Sawyer,04/03/2014,BLG,M,165,6.496062992,83.6,0.184306232
Little Round,Sawyer,04/03/2014,BLG,F,153,6.023622047,59.3,0.130733966
Little Round,Sawyer,04/03/2014,BLG,M,165,6.496062992,78,0.17196036
Little Round,Sawyer,04/03/2014,BLG,M,166,6.535433071,80.1,0.176590062
Little Round,Sawyer,04/03/2014,BLG,I,142,5.590551181,43.2,0.095239584
Little Round,Sawyer,04/03/2014,BLG,F,156,6.141732283,64.9,0.143079838
Little Round,Sawyer,04/03/2014,BLG,F,151,5.94488189,53.7,0.118388094
Little Round,Sawyer,04/03/2014,BLG,F,170,6.692913386,80.9,0.178353758
Little Round,Sawyer,04/03/2014,BLG,M,187,7.362204724,110.9,0.244492358
Little Round,Sawyer,04/03/2014,BLG,M,190,7.480314961,115.1,0.253751762
Little Round,Sawyer,04/03/2014,BLG,M,228,8.976377953,131.6,0.290127992
Lake Wingra,Dane,12/21/2013,BLG,F,169,6.653543307,81,0.178571429
Lake Wingra,Dane,12/21/2013,BLG,F,149,5.866141732,51,0.112433862
Lake Wingra,Dane,12/21/2013,BLG,M,144,5.669291339,49,0.108024691
Lake Wingra,Dane,12/21/2013,BLG,U,111,4.37007874,23.5,0.05180776
Lake Wingra,Dane,12/21/2013,BLG,F,145,5.708661417,52,0.114638448
Lake Wingra,Dane,12/21/2013,BLG,M,144,5.669291339,49,0.108024691
Lake Wingra,Dane,12/21/2013,BLG,M,159,6.25984252,70,0.154320988
Lake Wingra,Dane,12/21/2013,BLG,M,177,6.968503937,99,0.218253968
Lake Wingra,Dane,12/21/2013,BLG,M,173,6.811023622,94,0.207231041
Lake Wingra,Dane,12/28/2013,BLG,M,156,6.141732283,61,0.134479718
Lake Wingra,Dane,12/28/2013,BLG,F,150,5.905511811,54,0.119047619
Lake Wingra,Dane,12/28/2013,BLG,F,143,5.62992126,49,0.108024691
Lake Wingra,Dane,12/28/2013,BLG,F,139,5.472440945,43,0.094797178
Lake Wingra,Dane,12/28/2013,BLG,M,135,5.31496063,42,0.092592593
Lake Wingra,Dane,12/28/2013,BLG,F,152,5.984251969,61,0.134479718
Lake Wingra,Dane,12/28/2013,BLG,F,148,5.826771654,55,0.121252205
Lake Wingra,Dane,12/28/2013,BLG,M,146,5.748031496,56,0.12345679
Lake Wingra,Dane,12/28/2013,BLG,M,160,6.299212598,64,0.141093474
Lake Wingra,Dane,12/28/2013,BLG,M,147,5.787401575,51,0.112433862
Lake Wingra,Dane,12/28/2013,BLG,M,139,5.472440945,44,0.097001764
Lake Wingra,Dane,12/28/2013,BLG,M,149,5.866141732,52,0.114638448
Lake Wingra,Dane,12/28/2013,BLG,M,167,6.57480315,95,0.209435626
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,UNK,150,5.905515,64.3,0.141757066
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,UNK,144,5.6692944,53.6,0.118167632
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,F,165,6.4960665,82.3,0.181440226
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,F,137,5.3937037,42.9,0.094578198
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,M,189,7.4409489,122.6,0.270286412
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,F,167,6.5748067,85,0.1873927
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,M,162,6.3779562,83.2,0.183424384
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,F,162,6.3779562,74.1,0.163362342
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,M,160,6.299216,73.8,0.162700956
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,UNK,143,5.6299243,52.7,0.116183474
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,F,145,5.7086645,54.5,0.12015179
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,F,154,6.0629954,68.7,0.151457394
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,F,120,4.724412,29.7,0.065477214
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,M,159,6.2598459,79.5,0.17526729
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,F,180,7.086618,104.2,0.229721404
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,F,191,7.5196891,132.9,0.292993998
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,F,192,7.5590592,133.7,0.294757694
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,M,195,7.6771695,133.5,0.29431677
Lac Courte Oreilles,Sawyer,04/10/2014,BLG,M,203,7.9921303,132.7,0.292553074
